date,inst_f buy,inst_t buy,inst_txf_net,inst_txf_oi,inst_mtx_net,inst_mtx_oi,tse_open,tse_high,tse_low,tse_close,tse_volume,txf_open,txf_high,txf_low,txf_close,txf_volume,above_ma
2019/5/17,-10445921123,-561082416,-1215,47957,-800,-2644,10508.55957,10564.96973,10384.11035,10384.11035,131265,10562,10566,10406,10413,147667,13
2019/5/20,-4503052348,-91897072,4787,52743,1709,-931,10405.36035,10465.83984,10385.17969,10398.41016,106192,10442,10485,10405,10432,137967,19
2019/5/21,-7178679627,437580460,-1661,51082,-1066,-1997,10362.34961,10477.2002,10342.32031,10464.5,128369,10398,10502,10378,10487,139187,26
2019/5/22,-11121446184,794017050,-3585,47497,-1879,-3866,10481.09961,10520.62012,10453.5,10457.21973,95046,10471,10515,10453,10479,116647,24
2019/5/23,-11024782914,-925665170,-5317,40980,-7266,-6332,10404,10404,10289.69043,10308.37012,118008,10422,10424,10285,10311,140726,22
2019/5/24,-8531354816,404598251,4387,45367,4354,-1978,10313.15039,10370.96973,10308.58984,10328.28027,101724,10316,10386,10315,10341,109852,23
2019/5/27,-4682187289,-267250599,-1199,44168,-2065,-4043,10344.17969,10365.44043,10305.28027,10334.12988,92056,10349,10390,10284,10332,103055,26
2019/5/28,-5635242459,127029497,-1424,42744,253,-3790,10348.58008,10361.61035,10312.30957,10312.30957,152630,10369,10374,10309,10340,87522,16
2019/5/29,-6045451244,-86985404,2481,45224,-493,-4294,10277.34961,10307.75,10227.44043,10301.78027,93549,10220,10295,10218,10291,94586,21
2019/5/30,-3723703512,397725365,-865,44348,1236,-3014,10307.12012,10384.36035,10306.03027,10382.99023,95925,10311,10382,10279,10365,118760,30
2019/5/31,1935823391,1100838230,492,44170,1116,782,10386.12012,10515.09961,10369.01953,10498.49023,124057,10332,10493,10330,10455,132152,41
2019/6/3,4256940836,-470794770,310,44409,-2159,-1093,10482.4502,10511.2002,10383.50977,10500.07031,95838,10431,10477,10366,10471,129013,36
2019/6/4,-5845365676,75346470,-2580,41820,-6269,-7326,10499.50977,10518.33008,10421.80957,10429.12012,88930,10461,10483,10401,10416,91564,36
2019/6/5,-524605423,212899189,-70,41759,2723,-3696,10497.5,10541.29004,10446.50977,10461.62012,96883,10495,10510,10439,10456,101491,41
2019/6/6,-2305092765,-404646572,-1588,40187,-3325,-7081,10409.90039,10429.33008,10371.08008,10409.2002,98131,10433,10437,10351,10365,111098,31
2019/6/10,8311096159,635503010,7076,47261,7897,824,10486.23047,10566.46973,10466.24023,10566.46973,107208,10477,10546,10442,10540,122465,39
2019/6/11,3481481206,1024279050,-128,47135,-584,232,10567.54004,10637.90039,10548.05957,10607.75977,122193,10555,10618,10533,10590,101609,35
2019/6/12,-150026789,399395812,564,47698,432,670,10605.75,10630.69043,10566.37012,10615.66016,101116,10587,10611,10564,10591,87261,36
2019/6/13,-7582215536,800199500,-6237,41459,-5696,-5018,10582.19043,10617.05957,10539.49023,10561.00977,95847,10561,10589,10497,10528,113159,30
2019/6/14,-3149226389,83716281,-298,41161,-168,-5186,10546.41992,10568.91992,10517.82031,10524.66992,84219,10534,10558,10516,10528,76827,23
2019/6/17,-4276008252,-228360970,2901,44014,2387,-2735,10488.7002,10562.96973,10474.19043,10530.54004,88004,10477,10565,10460,10545,101665,33
2019/6/18,1537423115,-67059712,-1391,42623,-1432,-4167,10547.15039,10573.76953,10521.7002,10566.74023,80305,10539,10576,10526,10554,65992,29
2019/6/19,17946251224,1001741322,14296,51115,13092,4628,10650.48047,10778.63965,10650.48047,10775.33984,141124,10680,10800,10667,10770,78705,47
2019/6/20,6937059327,582547830,2482,53598,-2833,1791,10749.41016,10799.13965,10745.25,10785.00977,126788,10575,10605,10558,10592,81952,44
2019/6/21,6506815125,323556297,97,53695,-3250,-1459,10817.70996,10840.29004,10773.46973,10803.76953,148881,10628,10641,10564,10586,96523,42
2019/6/24,5413322876,-185492708,-4309,49386,-785,-2244,10734.25,10786.33008,10695.49023,10779.4502,96850,10605,10647,10553,10622,91541,45
2019/6/25,-1999119600,287912130,-3,49383,-4225,-6469,10777.17969,10787.62012,10693.04004,10706.71973,99907,10620,10630,10523,10539,99145,41
2019/6/26,-586276973,106116274,-4000,44283,-3145,-5221,10661.38965,10690.98047,10645.37012,10652.54981,85565,10525,10541,10499,10505,83783,35
2019/6/27,14403949647,840901724,1329,45612,3758,-1463,10674.2002,10800.29004,10674.2002,10773.90039,124603,10535,10642,10532,10621,107401,45
2019/6/28,-2948183014,367402000,1513,47125,-3353,-4816,10786.66016,10788.08008,10719.08008,10730.83008,89585,10621,10627,10550,10577,82315,35
